"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ybx3",0.000197833668670994,1.12000945688088,0.944,0.556,1
"Trappc12",0.000454480152101184,-1.80534798087667,0.139,0.556,1
"Aldoa",0.000719640658922195,-0.739365321243165,0.944,1,1
"Las1l",0.00106282938248878,3.31557508786716,0.333,0,1
"Ppil4",0.00107616112960535,-2.32066804882492,0.056,0.407,1
"Trap1",0.00128147950490685,-1.53931258202089,0.194,0.63,1
"Spata5l1",0.00140044947792259,-3.36524654353642,0,0.259,1
"Zfp277",0.00143636091986195,-2.5311684339346,0.111,0.444,1
"Eif2ak3",0.00213303328884074,-1.30649579649446,0.167,0.556,1
"Gemin5",0.00222576684436237,-2.75832164324501,0.028,0.296,1
"Lypla2",0.00261372212279722,-2.07832795607303,0.056,0.37,1
"Nup205",0.00261372212279722,-2.05490495443808,0.056,0.37,1
"Rtkn2",0.00265028122642342,-1.82943876386554,0.111,0.444,1
"Ptn",0.00316348341034878,-0.428137234106603,1,1,1
"Kdm1b",0.00335714805198703,-1.90333003028563,0.111,0.444,1
"Bivm",0.00337374214075783,-3.18167844626079,0,0.222,1
"Rnf208",0.00337374214075783,-3.07135422929301,0,0.222,1
"Jam2",0.00337374214075783,-3.03847704494681,0,0.222,1
"Lrif1",0.00338646494035211,-1.3639461564799,0.194,0.593,1
"Pakap.1",0.00372553148158384,1.66699140969626,0.556,0.222,1
"Cobll1",0.00375972713213323,1.26802947177048,0.75,0.481,1
"Usp16",0.00383623340464315,-1.3465118038872,0.306,0.63,1
"Zfp944",0.00403081395335001,-1.67405227154591,0.028,0.296,1
"Insig1",0.00433339420558811,-1.12691986653673,0.639,0.815,1
"Sccpdh",0.00449779911166716,0.615187977857165,0.917,0.926,1
"Ldha",0.00464026967546868,-2.00043926390876,0.194,0.519,1
"Rhot1",0.00489630007525397,1.39545864810529,0.583,0.296,1
"Parvb",0.00498017218945987,-1.7542738521451,0.083,0.37,1
"Mynn",0.00517455178310027,1.95409748409712,0.417,0.111,1
"Kif5a",0.00527949245748245,2.55065949708687,0.361,0.074,1
"Kifap3",0.00555915643940489,1.08940499199577,0.722,0.407,1
"Noc2l",0.00561352433025577,-1.56270303193172,0.111,0.444,1
"Metrn",0.00565247665608743,-0.926324863474916,0.583,0.852,1
"Wdr34",0.00575147643842557,3.156334639062,0.25,0,1
"Rab11b",0.00576382116867136,-0.703015826981812,0.806,0.926,1
"Jtb",0.00590148796814355,0.925160022470188,0.806,0.556,1
"Kif1bp",0.00600158406914762,-0.675767626881549,0.639,0.926,1
"Ttc37",0.00602594514262644,2.83859500555767,0.306,0.037,1
"Ermn",0.00608703861790377,0.393250799967016,1,1,1
"Cic",0.00608852106988114,-1.61161676447445,0.111,0.407,1
"Cdc42ep1",0.00618684483393548,1.09056976663573,0.833,0.63,1
"Stx2",0.00654859945926344,-1.6835443132991,0.139,0.444,1
"Sike1",0.00658962991440082,-1.26941598312784,0.194,0.556,1
"B2m",0.00681436190956494,-1.88511433226984,0.111,0.407,1
"Crnkl1",0.00681436190956494,-1.5621552783031,0.111,0.407,1
"Lysmd1",0.00691543052591752,-2.47741830677222,0.028,0.259,1
"Ranbp9",0.00691953900691886,-1.02028448639728,0.444,0.778,1
"Dock3",0.00696944161986718,1.29617070676192,0.722,0.519,1
"Rnf135",0.00698609117754054,-1.76188973490321,0.056,0.333,1
"5430416N02Rik",0.00698609117754054,-1.74482545709637,0.056,0.333,1
"Ankrd44",0.00703170294261276,-1.26287804376218,0.222,0.593,1
"Nub1",0.00705969803916988,-1.08345788748872,0.306,0.704,1
"Bola2",0.00708642220555887,-1.26604667058605,0.306,0.667,1
"Smim14",0.00714063670301589,0.627610334517918,0.889,0.852,1
