"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Pcdh17",0.310183007478848,0.641091468467564,0.212,0.179,1
"Dnajb11",0.310761075792275,0.251642906698553,0.307,0.4,1
"Rcc1l",0.310820603975863,-0.65833811315179,0.035,0.055,1
"Gm28320",0.310954437716187,1.19746185961079,0.079,0.055,1
"Mbd1",0.310994989417276,0.671921521213275,0.128,0.097,1
"Rnaseh2a",0.311038219375547,-0.502613574894303,0.095,0.124,1
"Dop1b",0.311387576489276,0.583192968223796,0.255,0.228,1
"Ankrd37",0.311552546562544,-0.36524562476292,0.046,0.069,1
"Prima1",0.31164246470012,0.629103160575995,0.19,0.159,1
"Atf6b",0.312419690678449,0.393187187856556,0.217,0.186,1
"Aopep",0.312457855556916,0.599488691130065,0.337,0.324,1
"Hps4",0.312960924452034,-0.284002942702634,0.082,0.11,1
"Nifk",0.31319007848584,-0.271097799419125,0.046,0.069,1
"Letm1",0.313259510107975,-0.406796510919573,0.171,0.214,1
"Wdr70",0.313278793690201,0.640288560676002,0.163,0.131,1
"Zfp799",0.313856557299687,1.50087277092351,0.071,0.048,1
"Ift46",0.314464652304804,0.582645259348621,0.082,0.055,1
"Clcn7",0.314464652304804,0.435815540058792,0.082,0.055,1
"Stox2",0.314978578113275,0.533603827999676,0.429,0.441,1
"Stxbp5",0.315261519325031,0.908367888465281,0.139,0.11,1
"Gmcl1",0.315273225646023,0.262045588864666,0.114,0.152,1
"Rnf185",0.315353622307334,1.2230781620041,0.071,0.048,1
"Atf3",0.315442429073843,-0.377240767961148,0.035,0.055,1
"Atg2b",0.315715070538,0.779797514629591,0.103,0.076,1
"Cnot6",0.315747608777864,0.291199176177253,0.101,0.138,1
"Hip1r",0.315859923539533,0.821894893134271,0.152,0.124,1
"Zfyve16",0.316165122554629,0.692390266392144,0.188,0.159,1
"Il6st",0.316744069934248,0.551801292114527,0.302,0.276,1
"Fem1c",0.316782345586756,0.708071503542728,0.168,0.138,1
"Slc25a16",0.317139669592111,-0.300664500418538,0.082,0.11,1
"Wdtc1",0.317678835392071,-0.356718149410818,0.084,0.11,1
"Uri1",0.318069617720306,0.689588319191418,0.182,0.152,1
"Slc9a9",0.318121238546428,0.785015922644204,0.329,0.324,1
"Faah",0.318361802709456,1.10769059915456,0.071,0.048,1
"Uggt1",0.318700514575378,0.937519738757549,0.144,0.117,1
"Fhdc1",0.318765468952253,0.744667984849692,0.079,0.055,1
"Trim35",0.319536999679733,0.432512360363869,0.508,0.517,1
"Fbxl15",0.319663378262201,-0.276246030368486,0.041,0.062,1
"Aldh16a1",0.319776315768927,1.14843158637519,0.062,0.041,1
"Atr",0.320446134257456,0.811439773390185,0.095,0.069,1
"Zfp160",0.320628968162105,-0.279386579466745,0.046,0.069,1
"Ttbk2",0.320801793593146,0.287347324761401,0.158,0.124,1
"Clk1",0.320947391542777,0.707948958406322,0.315,0.297,1
"Atad2b",0.321604244252691,0.658409714440292,0.359,0.345,1
"Ranbp9",0.321812348332041,0.787555778575423,0.217,0.193,1
"Zfhx2",0.32207964557369,1.36833465167403,0.054,0.034,1
"Fsd1l",0.322083905716139,0.615717281976865,0.291,0.262,1
