"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Heatr5b",4.88563003052112e-05,-0.851580706019398,0.099,0.189,1
"Gnb4",8.13831365384266e-05,-0.733280634540912,0.114,0.205,1
"Sgf29",0.000163006444791189,-0.702534415271064,0.151,0.245,1
"Cdc42ep1",0.000289435573771661,-0.306895980934481,0.672,0.781,1
"Enpp6",0.000297980700658436,1.30751930806473,0.135,0.068,1
"Wdr5",0.000357473482200191,-0.996680396980578,0.034,0.087,1
"Pmpcb",0.000364085162704568,-0.373046043842578,0.261,0.38,1
"Phactr1",0.000513117657785452,-0.327814982968405,0.481,0.586,1
"Kat7",0.000622836881713205,-0.59865591231137,0.195,0.282,1
"Phactr3",0.000634932897548687,-0.261056350654208,0.494,0.604,1
"Impa1",0.000672659403102932,0.621418873752176,0.292,0.205,1
"Urgcp",0.000781767900623043,-0.723020308381704,0.103,0.175,1
"Bscl2",0.000808851535204148,-0.660482339274576,0.205,0.292,1
"Dmtf1",0.000814788168809612,-0.729323763353202,0.095,0.165,1
"Enpp1",0.000816282313314684,-0.763349757790293,0.103,0.173,1
"Plekha2",0.000816546633675308,-0.783236987697093,0.081,0.147,1
"Gne",0.000899646924422027,-1.08334374549208,0.041,0.093,1
"0610010F05Rik",0.000925605668834269,-0.644693761369783,0.135,0.213,1
"Slc12a4",0.000944869344377715,-0.979954285507415,0.036,0.085,1
"Mon2",0.0010766233513133,-0.37725652357874,0.283,0.386,1
"Virma",0.0012783947757054,-0.440494264725233,0.153,0.239,1
"Syncrip",0.0013492110898089,-0.539212003292847,0.182,0.264,1
"Yipf1",0.00142618587493612,-0.396419618956892,0.279,0.372,1
"Iars2",0.00145400094313431,-0.833005853003194,0.092,0.157,1
"Relch",0.00145545514649464,-0.364968169580214,0.216,0.306,1
"Rdh5",0.00145912696353343,-0.970770311693034,0.043,0.093,1
"Cdip1",0.00149169961808414,-0.322976272103961,0.559,0.644,1
"Sppl2a",0.00160920338847226,0.608784829252047,0.314,0.231,1
"Ocel1",0.00161174171251748,-0.887211224812005,0.052,0.105,1
"Lysmd3",0.00162270304187125,-0.667408394724978,0.083,0.145,1
"Gpr85",0.00166182637439612,-1.04984989461229,0.047,0.097,1
"Purb",0.00180270597423853,-0.35743109834437,0.378,0.489,1
"Snrpb2",0.00201238528550833,-0.807619785930735,0.117,0.181,1
"Smim7",0.00208835640178882,-0.32622649929407,0.348,0.451,1
"Spty2d1",0.00234679580030566,-0.834316281087187,0.068,0.123,1
"Fkbpl",0.00235429394770121,-1.02513710577643,0.025,0.064,1
"Orc3",0.00240836219584401,-0.715880929278477,0.07,0.127,1
"Crkl",0.00254301889876764,-0.624174232834541,0.092,0.157,1
"Rabl6",0.0026137634647899,-0.423155845406109,0.245,0.33,1
"Fbxw8",0.00267999823940485,-0.468840348132895,0.16,0.235,1
"Gtf2h1",0.00269631997416497,-0.745275274756841,0.099,0.161,1
"Gm5535",0.00276090133724708,-1.00532912055917,0.049,0.097,1
"9930021J03Rik",0.00281199993197172,-0.673980345672632,0.128,0.195,1
"Dpy19l4",0.00288070711543122,-0.767028715657383,0.101,0.161,1
"Sgsm3",0.00297148527695862,-0.944568690579004,0.065,0.117,1
"Hps3",0.00297487533015603,-0.923991820699815,0.029,0.068,1
"Cspp1",0.00298673847232694,-0.756052476292854,0.083,0.143,1
"Lztr1",0.00308717360772392,-0.456020509749953,0.119,0.191,1
"Abhd2",0.00322370087482007,-0.961273605254342,0.045,0.091,1
"Limd1",0.00345517028816185,-0.740637747904654,0.076,0.131,1
"Mios",0.00368575828660197,-1.00912834726314,0.043,0.087,1
"Ogfod1",0.0037253258652049,-0.758726802811543,0.036,0.078,1
"Usp28",0.00373560738907122,-1.17810548483923,0.029,0.066,1
"Rnf157",0.0038256781463265,-0.554628919081914,0.043,0.089,1
"Hmces",0.00384004765487617,-0.746063021151723,0.079,0.135,1
"Abtb2",0.0039163513071044,-0.586997065617421,0.088,0.147,1
"Smarcad1",0.00395985939927018,-0.537246248028028,0.187,0.26,1
"Med30",0.00414447160227898,-0.365852017477269,0.326,0.408,1
"Arpc1b",0.0041717579782871,-0.279561887150282,0.609,0.708,1
"Cdkn2aipnl",0.00442955507735638,0.67507709045547,0.209,0.145,1
"Dock4",0.00448094074494658,-0.405121077769001,0.202,0.282,1
"Tmem237",0.00475555720646777,0.521247414331286,0.281,0.213,1
"Slc25a38",0.00484544676723639,-0.551602407043264,0.193,0.264,1
"Tti2",0.00494226410330397,1.02394670451338,0.097,0.052,1
"Mzt1",0.00495088339891512,-0.428876192688598,0.157,0.229,1
"Endov",0.00509027710541503,-1.23710686579944,0.034,0.072,1
"Itgb4",0.00512321891082094,0.558891190370623,0.355,0.284,1
"Eef1aknmt",0.0052205404868978,-0.910067458614786,0.031,0.068,1
"Tmx1",0.00528039140965133,-0.410234311905194,0.209,0.294,1
"Fam83d",0.00541650860392816,-0.319853695891319,0.159,0.231,1
"Ndufs1",0.00571232801631568,-0.402657022950663,0.33,0.404,1
"Flywch2",0.00573083577360612,-0.866930546191597,0.034,0.072,1
"Klhl4",0.0058407108012212,0.475841367038647,0.359,0.29,1
"Fyttd1",0.0058702794491849,-0.404757675418279,0.168,0.239,1
