"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Dot1l",3.1776562572654e-40,0.319706161622382,0.184,0.083,1.02590632265813e-35
"Glmn",4.0486141890849e-40,0.327935335034967,0.149,0.06,1.30709509094606e-35
"Pfkfb2",4.34106358629164e-40,0.335446009717063,0.118,0.041,1.40151237883426e-35
"Sfmbt1",4.65761869536217e-40,-0.820830005813095,0.134,0.228,1.50371219579768e-35
"Sod2",4.99539764875086e-40,0.339096779848098,0.118,0.041,1.61276413089922e-35
"Map7d2",7.15218505665096e-40,0.354257667337216,0.134,0.052,2.30908294553976e-35
"Abcb4",7.17276403266932e-40,-0.763020249655024,0.04,0.115,2.31572686794729e-35
"Rapgef6",8.58059976962321e-40,-0.801970357353175,0.242,0.327,2.77024663562285e-35
"Aifm1",8.89831910617271e-40,0.312429380134176,0.132,0.049,2.87282232342786e-35
"Nol4l",9.37286528237183e-40,-0.751156490648243,0.039,0.112,3.02602955641374e-35
"Dennd2a",9.6437626522311e-40,0.34293525951269,0.104,0.033,3.11348877227281e-35
"Zhx1",1.11941508405955e-39,0.293625534755409,0.147,0.059,3.61403159888624e-35
"Zfp827",1.25696584138192e-39,0.31735303081207,0.162,0.068,4.05811421890153e-35
"Rogdi",1.41560157266106e-39,-0.853352690792678,0.055,0.134,4.57026967733623e-35
"Zer1",1.50007429392816e-39,0.336419134767615,0.136,0.052,4.84298985794707e-35
"Ostf1",1.66006677130264e-39,-0.79710353105719,0.057,0.137,5.35952557115057e-35
"Syt11",1.76561536004305e-39,0.32462386833975,0.225,0.113,5.70028918989897e-35
"2610008E11Rik",1.8847563265445e-39,0.323928414625883,0.16,0.068,6.08493580024892e-35
"Mccc2",1.92209689921287e-39,0.331025332395526,0.116,0.04,6.20548983910875e-35
"Dtx3",2.28034351661863e-39,0.314293539930205,0.135,0.052,7.36208904340324e-35
"Ubl3",2.60853411388418e-39,-0.822137003060583,0.159,0.253,8.42165238667508e-35
"Ubac1",2.76041387659465e-39,0.326758817179664,0.108,0.035,8.91199620058582e-35
"Cep128",2.91063671513566e-39,0.351439356752917,0.162,0.07,9.39699063481546e-35
"Dtnb",3.51016135876235e-39,0.294481689369103,0.192,0.089,1.13325559467642e-34
"Kdm2b",5.12024947648461e-39,-0.811879302716158,0.082,0.169,1.65307254348306e-34
"Tcp11l1",6.13572097397892e-39,0.299202387745905,0.175,0.078,1.98091751644909e-34
"Stard3",6.42642615283184e-39,-0.764193212632888,0.041,0.114,2.07477168344176e-34
"Cdc42",8.31165762253438e-39,-0.831950317512939,0.126,0.217,2.68341866343522e-34
"E130102H24Rik",8.90389537537457e-39,0.325398544063288,0.144,0.058,2.87462262193968e-34
"Wscd1",8.96405360803944e-39,0.378233542584403,0.123,0.046,2.89404470735553e-34
"Haghl",9.3361725022273e-39,0.351535967292975,0.125,0.046,3.01418329234408e-34
"Iqcb1",9.81840890614001e-39,0.307390872045988,0.136,0.053,3.1698733153473e-34
"Nup93",9.91793692532848e-39,0.340241038465618,0.12,0.043,3.2020059363423e-34
"Fam117b",1.04672858471347e-38,-0.850392290879374,0.117,0.207,3.37936323574744e-34
"Sos1",1.18041169510075e-38,0.25333312310021,0.216,0.105,3.81095915763278e-34
"Ttc8",1.2218689715081e-38,0.293922772605779,0.147,0.06,3.94480397451389e-34
"Mrps9",1.4650924068726e-38,0.260819642539542,0.212,0.103,4.73005083558818e-34
"Dancr",1.50616381599447e-38,0.374387001887411,0.107,0.036,4.86264987993814e-34
"Pknox1",1.73545569629609e-38,-0.751772579367861,0.035,0.105,5.60291871549193e-34
"Crppa",1.90261790421765e-38,0.399309745520652,0.144,0.059,6.14260190376667e-34
"Rab43",1.94035563128331e-38,-0.755656356819001,0.041,0.113,6.26443815559816e-34
"Arhgap18",1.99170048866536e-38,0.275944971700729,0.178,0.079,6.4302050276561e-34
"Tmem63b",2.01146762311404e-38,0.305916755021168,0.144,0.058,6.49402322122368e-34
"Pnpt1",2.48576043125849e-38,0.31466112892339,0.157,0.066,8.02527755231802e-34
"Kremen1",2.52630358418662e-38,0.291882212792217,0.101,0.032,8.15617112154649e-34
"Glcci1",2.62985950851131e-38,0.292002699183023,0.208,0.102,8.49050142322878e-34
"Cdkl3",3.11737057158954e-38,0.326330629841579,0.112,0.039,1.00644308903768e-33
"Sap25",3.45995710374165e-38,-0.806805960328225,0.071,0.154,1.11704715094299e-33
"Slc38a1",4.01139280154965e-38,-0.731615101174321,0.046,0.122,1.2950781659803e-33
"Twf2",4.42128188644897e-38,-0.74132929521611,0.037,0.108,1.42741085704005e-33
"Osbpl6",6.99967485537715e-38,0.319686060740159,0.14,0.056,2.25984502705851e-33
"Smc5",8.86357412795609e-38,0.280759019534158,0.222,0.111,2.86160490721062e-33
"Ndrg3",1.01655662283823e-37,0.262862665070592,0.201,0.096,3.28195305683322e-33
"Clpb",1.02436151864525e-37,0.34044304002526,0.132,0.052,3.3071511629462e-33
"Erp29",1.14374412108832e-37,-0.780963725008331,0.061,0.14,3.69257789493363e-33
"Zfp945",1.26089366917082e-37,0.292511225013757,0.139,0.055,4.07079521091799e-33
"Slc43a2",1.94041575616564e-37,-0.799894491984253,0.075,0.158,6.26463226878078e-33
"Kcnh5",2.46355422575398e-37,0.336971605060288,0.114,0.04,7.95358481784673e-33
"Tspan3",2.46725913467203e-37,0.32335372824496,0.12,0.044,7.96554611628865e-33
"Cebpz",2.52553387773786e-37,-0.850999235726049,0.124,0.213,8.1536861242767e-33
"Acadl",2.62138452845548e-37,0.313137506718733,0.131,0.051,8.46313995011852e-33
"Gstz1",2.75445713156886e-37,0.329487476285888,0.122,0.046,8.89276484927007e-33
"Gm27177",4.95528554034083e-37,-0.809966056055579,0.081,0.163,1.59981393669904e-32
"Sucla2",5.29413765167903e-37,0.271996816963905,0.148,0.062,1.70921234084457e-32
"Mark1",6.39944770910214e-37,0.303405966861423,0.105,0.035,2.06606169288363e-32
"Zfp788",6.49319928082886e-37,0.322995048902883,0.11,0.039,2.0963293878156e-32
"Nmt2",6.903718640258e-37,0.277773182861158,0.175,0.079,2.22886556300729e-32
"March2",7.45269588272889e-37,0.31489445450376,0.127,0.049,2.40610286573902e-32
"Gm17660",7.48455788940392e-37,0.302309612157519,0.127,0.049,2.41638951459405e-32
"Cbl",8.32473106071332e-37,-0.819615380250882,0.181,0.269,2.6876394229513e-32
"Sft2d1",9.29622560839905e-37,-0.752853867966397,0.042,0.113,3.00128643767163e-32
"Il15",9.3056519965272e-37,-0.862557659873172,0.083,0.165,3.00432974707881e-32
"Cep152",1.03777968327087e-36,-0.866602380094012,0.082,0.163,3.35047170744001e-32
"Ddx5",1.10850626324281e-36,-0.279394020431324,0.777,0.704,3.57881247087941e-32
"Zfp961",1.13336045579999e-36,0.291304763483867,0.121,0.045,3.65905423155028e-32
"Atp11a",1.14291165949843e-36,0.335312054259458,0.206,0.103,3.68989029269069e-32
"Maml2",1.15146562165763e-36,0.265353779916755,0.818,0.56,3.71750675952165e-32
"Adam17",1.42012917719267e-36,-0.842212539459897,0.086,0.169,4.58488704856655e-32
"Tenm4",2.02625214597239e-36,0.265073767262063,0.269,0.145,6.54175505327187e-32
"Tbc1d10a",2.48845105509141e-36,0.306831509842929,0.103,0.034,8.03396423136263e-32
