"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Nfatc1",9.8586950406026e-62,-2.53233642472878,0.059,0.167,3.18287969385855e-57
"Sox2",1.50345171887763e-61,1.86617470313974,0.109,0.023,4.85389387439642e-57
"Slc25a4",1.61571865255219e-61,1.01143342359568,0.159,0.05,5.21634766976475e-57
"Dennd5b",1.65882825956455e-61,0.844644673072237,0.201,0.075,5.35552703600415e-57
"Hdac3",1.72313572288688e-61,1.04815369611955,0.155,0.047,5.56314368134031e-57
"Map11",2.90016465145987e-61,-2.46815386065122,0.058,0.165,9.36318157723818e-57
"Tmem164",3.20951087893308e-61,0.395262797368702,0.485,0.27,1.03619058726355e-56
"Cspp1",5.23213886140536e-61,0.329749227861992,0.488,0.269,1.68919603140472e-56
"Zfp219",6.96964816869615e-61,1.10930376664609,0.135,0.036,2.25015091126355e-56
"Hdac7",1.24488087185542e-60,1.55171586015462,0.122,0.03,4.01909789478524e-56
"Tia1",1.30952323561501e-60,0.327484339534888,0.52,0.292,4.22779576618306e-56
"Snrk",1.51364275220748e-60,0.56562088122183,0.21,0.08,4.88679562550185e-56
"Amer2",1.67694261801431e-60,1.70361734147405,0.118,0.028,5.41400924225919e-56
"Akap11",1.96501118347929e-60,0.409572722749199,0.296,0.135,6.34403860586287e-56
"Mtx3",2.21609502213052e-60,0.880661601693538,0.178,0.062,7.15466277894837e-56
"Dennd4c",2.47068952750418e-60,0.555741669963472,0.242,0.1,7.97662113954726e-56
"Agps",5.6678706717657e-60,-1.81449968684167,0.168,0.287,1.82987204637956e-55
"Swap70",6.56069607415209e-60,0.462533274974515,0.24,0.099,2.11812072754e-55
"Psat1",7.99643961550718e-60,1.5344855885614,0.133,0.037,2.58165052986649e-55
"Mtcl1",8.17026499464834e-60,1.08094230623716,0.146,0.043,2.63777005352222e-55
"Znrf2",1.24105221160371e-59,-2.61502817213028,0.057,0.161,4.00673706516257e-55
"Add1",2.45073398166104e-59,0.350486393927149,0.413,0.217,7.91219465979268e-55
"Aldh9a1",2.48885628794591e-59,1.573763376801,0.101,0.019,8.03527252563338e-55
"Atxn2",2.52757562302116e-59,0.388518684745043,0.399,0.209,8.16027789892383e-55
"Abhd18",2.71790329251992e-59,0.712117161928369,0.194,0.072,8.77475077990056e-55
"Tex9",3.1116324404037e-59,1.68645455296522,0.102,0.02,1.00459053338434e-54
"Tdrd3",3.96064477923954e-59,0.672626931310813,0.221,0.089,1.27869416697749e-54
"Osbpl9",6.253776622131e-59,0.335867944530283,0.416,0.219,2.01903178245499e-54
"Sobp",7.50212429783282e-59,0.630502001753484,0.203,0.077,2.42206082955532e-54
"Map3k3",7.75577644284327e-59,-1.8767957069101,0.145,0.264,2.50395242457195e-54
"Ppm1b",1.26964627366217e-58,0.443299874786645,0.278,0.126,4.09905299451833e-54
"Prrt1",1.4336286174407e-58,1.51217055971987,0.111,0.025,4.62846999140732e-54
"Lncppara",1.48506631225786e-58,0.383613764324878,0.379,0.195,4.79453658912451e-54
"Scamp2",2.17560703500326e-58,-2.16288348143413,0.073,0.183,7.02394731250802e-54
"Dcun1d4",3.23326835087637e-58,1.18667972540847,0.135,0.038,1.04386068708043e-53
"Traf5",3.75976302983432e-58,-2.09989475553704,0.081,0.193,1.21383949418201e-53
"Tet1",6.75516677357075e-58,0.951674083681668,0.15,0.047,2.18090559284732e-53
"Mxd4",6.8326503785643e-58,0.896195516826697,0.2,0.078,2.20592117471948e-53
"Spag1",7.50100714647727e-58,1.74087688967713,0.1,0.02,2.42170015724019e-53
"Snx32",1.26211238859837e-57,1.13238490092433,0.155,0.051,4.07472984658984e-53
"Eml4",1.4106695816631e-57,-1.75930970084617,0.172,0.29,4.5543467443993e-53
"Grk4",1.56040625472422e-57,0.9192252249526,0.146,0.044,5.03777159337714e-53
"Arhgap17",1.97429267632874e-57,-1.70839761027497,0.162,0.28,6.37400390552733e-53
"Sipa1l1",1.99987249942631e-57,-1.63502433681254,0.167,0.286,6.45658836439785e-53
